Role,Prompt,Question,Option A,Option B,Option C,Option D,Correct Answer
Business Intelligence Analyst,Analytical Thinking,How confident are you in your Analytical Thinking?,Absolutely,Not really,Definitely not,Maybe,A
AI Researcher,System Architecture,How interested are you in tasks involving System Architecture?,Strongly disagree,Agree,Disagree,Strongly agree,D
Spark Engineer,Critical Thinking,Would you like to improve your Critical Thinking?,Rarely,Never,Neutral,Highly motivated,D
Web Performance Engineer,Adaptability,Do you feel motivated by activities involving Adaptability?,Absolutely,Maybe,Not really,Definitely not,A
IoT Developer,Cybersecurity Fundamentals,How much do you value Cybersecurity Fundamentals in your work environment?,No experience,Very confident,Somewhat confident,Not confident,B
AWS/GCP/Azure Specialist,API Integration,Does the idea of practicing API Integration appeal to you?,Not at all interested,Somewhat interested,Very interested,Not very interested,C
Unity Developer,Critical Thinking,How much do you value Critical Thinking in your work environment?,Agree,Strongly disagree,Disagree,Strongly agree,B
3D Artist,Independence,Would you enjoy opportunities focused on Independence?,Never,Highly motivated,Neutral,Rarely,D
Statistician,Dependability,How confident are you in your Dependability?,Somewhat interested,Very interested,Not at all interested,Not very interested,C
Infrastructure Architect,Initiative,Would you like to improve your Initiative?,Strongly agree,Agree,Strongly disagree,Disagree,B
IoT Product Designer,Initiative,Do you enjoy working on projects that require Initiative?,Very confident,No experience,Not confident,Somewhat confident,B
Computer Vision Engineer,Oral Expression,To what extent does Oral Expression excite you?,Never,Highly motivated,Neutral,Rarely,A
Monitoring Specialist,System Evaluation,Do you feel motivated by activities involving System Evaluation?,Agree,Strongly agree,Strongly disagree,Disagree,B
Infrastructure Automation Engineer,Dependability,Would you like to improve your Dependability?,Rarely,Never,Neutral,Highly motivated,B
UX Researcher,Dependability,How interested are you in tasks involving Dependability?,Never,Neutral,Highly motivated,Rarely,D
Network Administrator,Linux Administration,Would you like to improve your Linux Administration?,Somewhat interested,Not very interested,Not at all interested,Very interested,A
Firmware Engineer,Testing and Debugging,How interested are you in tasks involving Testing and Debugging?,Absolutely,Not really,Definitely not,Maybe,A
Cloud Operations Manager,Integrity,To what extent does Integrity excite you?,Agree,Strongly disagree,Disagree,Strongly agree,A
Cross-platform Mobile Developer,DevOps Practices,Do you feel motivated by activities involving DevOps Practices?,Maybe,Definitely not,Not really,Absolutely,D
Database Architect,Persistence,Do you feel motivated by activities involving Persistence?,Not confident,No experience,Very confident,Somewhat confident,C
Crypto Wallet Developer,Agile Methodology,Do you enjoy working on projects that require Agile Methodology?,Not very interested,Very interested,Not at all interested,Somewhat interested,D
Customer Experience Manager,Independence,How interested are you in tasks involving Independence?,Strongly agree,Agree,Disagree,Strongly disagree,B
Blockchain QA Engineer,Stress Tolerance,How confident are you in your Stress Tolerance?,Not very interested,Not at all interested,Somewhat interested,Very interested,A
API Developer,Python Programming,How interested are you in tasks involving Python Programming?,Not confident,No experience,Very confident,Somewhat confident,A
Computer Vision Engineer,Decision Making,Do you feel motivated by activities involving Decision Making?,Maybe,Absolutely,Definitely not,Not really,A
Infrastructure Automation Engineer,Time Management,Do you enjoy working on projects that require Time Management?,Somewhat interested,Not at all interested,Very interested,Not very interested,D
AWS/GCP/Azure Specialist,System Architecture,How interested are you in tasks involving System Architecture?,Very confident,Somewhat confident,No experience,Not confident,D
